name
barnacle
crab
crawfish
crawdad
crayfish
ecrevisse
lobster
prawn
shrimp
abalone
clam
krill
cherrystone
geoduck
littleneck
pismo
quahog
cockle
cuttlefish
limpet
mussel
octopus
oyster
periwinkle
sea cucumber
sea urchin
scallop
snail
escargot
squid
calamari
whelk
oysters
mussels
crab meat
whole oysters
